title,score,synopsis,Action,Adventure,Animation,Avant Garde,Award Winning,Biography,Boys Love,Comedy,Crime,Documentary,Drama,Ecchi,Family,Fantasy,Game-Show,Girls Love,Gourmet,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Slice of Life,Sport,Sports,Supernatural,Suspense,Talk-Show,Thriller,War,Western
Cowboy Bebop,8.75,"Crime timeless . year 2071 , humanity expanded across galaxy , filling surface planets settlements like Earth . new societies plagued murder , drug use , theft , intergalactic outlaws hunted growing number tough bounty hunters . Spike Spiegel Jet Black pursue criminals throughout space make humble living . Beneath goofy aloof demeanor , Spike haunted weight violent past . Meanwhile , Jet manages troubled memories taking care Spike Bebop , ship . duo joined beautiful con artist Faye Valentine , odd child Edward Wong Hau Pepelu Tivrusky IV , Ein , bioengineered Welsh Corgi . developing bonds working catch colorful cast criminals , Bebop crew 's lives disrupted menace Spike 's past . rival 's maniacal plot continues unravel , Spike must choose life newfound family revenge old wounds . [ Written MAL Rewrite ]",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cowboy Bebop: Tengoku no Tobira,8.38,"Another day , another bounty—such life often unlucky crew Bebop . However , routine interrupted Faye , chasing fairly worthless target Mars , witnesses oil tanker suddenly explode , causing mass hysteria . casualties mount due strange disease spreading smoke blast , whopping three hundred million woolong price placed head supposed perpetrator . lives stake solution money problems sight , Bebop crew springs action . Spike , Jet , Faye , Edward , followed closely Ein , split pursue different leads across Alba City . individual investigations , discover cover-up scheme involving pharmaceutical company , revealing plot reaches much ragtag team bounty hunters could realized . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Trigun,8.22,"Vash Stampede man $ $ 60,000,000,000 bounty head . reason : 's merciless villain lays waste oppose flattens entire cities fun , garnering title `` Humanoid Typhoon . '' leaves trail death destruction wherever goes , anyone count dead much make eye contact—or rumors say . actuality , Vash huge softie claims never taken life avoids violence costs . crazy doughnut obsession buffoonish attitude tow , Vash traverses wasteland planet Gunsmoke , followed two insurance agents , Meryl Stryfe Milly Thompson , attempt minimize impact public . soon , misadventures evolve life-or-death situations group legendary assassins summoned bring suffering trio . Vash 's agonizing past unraveled morality principles pushed breaking point . [ Written MAL Rewrite ]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Witch Hunter Robin,7.25,"Robin Sena powerful craft user drafted STNJ—a group specialized hunters fight deadly beings known Witches . Though fire power great , 's got lot learn powers working cool aloof partner , Amon . truth Witches leave Robin entirely new path never expected ! ( Source : Funimation )",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eyeshield 21,7.92,"Shy , reserved , small-statured , Deimon High School student Sena Kobayakawa perfect target bullies . However , result running errands throughout life , Sena become agile developed skill avoiding crowds people . cunning Youichi Hiruma—captain Deimon Devil Bats football team—witnesses Sena 's rapid legs motion , coerces timid boy joining squad . Hiruma wants conceal Sena 's identity clubs , Sena forced hide visored helmet `` Eyeshield 21 , '' mysterious running back wearing number 21 jersey . legendary Eyeshield 21 supposedly run speed light achieved remarkable feats United States time Notre Dame College . Accustomed avoiding problems past , Sena 's specialty might help become new secret weapon Deimon Devil Bats . interacts teammates , Sena gradually gains self-confidence forges valuable bonds along way . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hungry Heart: Wild Striker,7.55,"younger brother Japanese soccer star Seisuke Kanou , Kyousuke always expected grow soccer player pace brother did—an expectation proved difficult meet . fallen behind , lives shadow brother 's success . Entering freshman year Jouyou Akanegaoka High School , Kyousuke vows never play soccer . However , Miki Tsujiwaki , captain girls ' soccer team , Mori Kazuto , manager boys ' team , recognize Kyousuke 's potential want see return game reasons . opportunity play soccer , Kyousuke must either remain steadfast decision abandon sport loved , allow reignite flame become best striker world . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Monster,8.86,"Dr. Kenzou Tenma , elite neurosurgeon recently engaged hospital director 's daughter , well way ascending hospital hierarchy . one night , seemingly small event changes Dr. Tenma 's life forever . preparing perform surgery someone , gets call hospital director telling switch patients instead perform life-saving brain surgery famous performer . fellow doctors , fiancée , hospital director applaud accomplishment ; switch , poor immigrant worker dead , causing Dr. Tenma crisis conscience . similar situation arises , Dr. Tenma stands ground chooses perform surgery young boy Johan Liebert instead town 's mayor . Unfortunately , choice leads serious ramifications Dr. Tenma—losing social standing one . However , mysterious death director two doctors , Dr. Tenma 's position restored . evidence convict , released goes attain position hospital director . Nine years later Dr. Tenma saves life criminal , past comes back haunt him—once , comes face face monster operated . must embark quest pursuit make amends havoc spread one saved . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Texhnolyze,7.76,"dark underground city Lux , people live fear despair rule various criminal factions . Almost secluded surface , gangs ' interaction outer world mining operation `` raffia , '' raison d'être city . Available Lux , rare substance basis `` texhnolyze '' transplants permit humans replace parts body cybernetic prostheses . latter particularity trigger immune response hosts `` Class '' privilege conduct research . elusive organization , also charge raffia production , delegates executive authority group called Organo led Keigo Oonishi—a self-righteous man texhnolyzed legs rumored hear `` voice city . '' fragile balance powers Lux disturbed mysterious visitor named Kazuho Yoshii begins committing series crimes puts gangs 's throats . midst chaos , new actors emerge : Ichise , ex-boxer mutilated Organo recently texhnolyzed Eriko `` Doc '' Kamata ; Ran , young florist see future . Lux steadily plunges insanity , Ichise Ran find involved greatest crisis city ever faced . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Neon Genesis Evangelion,8.34,"Fifteen years cataclysmic event known Second Impact , world faces new threat : monstrous celestial beings called `` Angels '' invade Tokyo-3 one one . Mankind unable defend Angels despite utilizing advanced munitions military tactics . hope human salvation rests hands NERV , mysterious organization led cold Gendou Ikari . NERV operates giant humanoid robots dubbed `` Evangelions '' combat Angels state-of-the-art advanced weaponry protective barriers known Absolute Terror Fields . Years abandoned father , Shinji Ikari , Gendou 's 14-year-old son , returns Tokyo-3 . Shinji undergoes perpetual internal battle deeply buried trauma caused loss mother emotional neglect suffered hands father . Terrified open another , Shinji 's life forever changed upon meeting 29-year-old Misato Katsuragi , high-ranking NERV officer shows free-spirited maternal kindness never experienced . devastating Angel attack forces Shinji action Gendou reveals true motive inviting son back Tokyo-3 : Shinji child capable efficiently piloting Evangelion Unit-01 , new robot synchronizes biometrics . Despite brutal psychological trauma brought piloting Evangelion , Shinji defends Tokyo-3 angelic threat , oblivious father 's dark machinations . [ Written MAL Rewrite ]",1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Neon Genesis Evangelion: The End of Evangelion,8.55,"Shinji Ikari left emotionally comatose death dear friend . son mentally unable pilot humanoid robot Evangelion Unit-01 , Gendou Ikari 's NERV races shadow organization SEELE see enact ultimate plan first . SEELE desires create godlike fusing souls Evangelion unit , Gendou wishes revert humanity one primordial reunited Yui , deceased wife . SEELE unleashes military forces lethal invasion NERV headquarters . SEELE 's forces cut NERV 's scientists security personnel , Asuka Langley Souryuu pilots Evangelion Unit-02 desperate last stand SEELE 's heaviest weaponry . battle rages , depressed Shinji hides deep within NERV 's headquarters . fate world resting Shinji 's hands , Captain Misato Katsuragi hunts teenage boy society crumbles around . [ Written MAL Rewrite ]",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kenpuu Denki Berserk,8.56,"Guts , man one day known Black Swordsman , young traveling mercenary characterized large greatsword carries . accepts jobs offer money , never stays one group long—until encounters Band Hawk . Ambushed completing job , Guts crushes many members combat . Griffith , Band Falcon 's leader founder , takes interest Guts duels . others match Guts , Griffith defeats one blow . Incapacitated taken Band Hawk 's camp recover , Guts wakes two days later . confronts Griffith , two duel yet , time condition : Guts join Band Falcon loses . Due fresh injuries , Guts loses fight inducted Griffith . three years ' time , Guts become one Band Hawk 's commanders . battlefield , combat prowess second Griffith takes large groups enemies . Guts ' immense strength Griffith 's leadership , Band Hawk dominate every battle partake . something menacing lurks shadows , threatening change Guts ' life forever . [ Written MAL Rewrite ]",1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,"mankind 's savagery surpasses fear death , little hope wish live honest lives . Beneath full moon , young boy witnesses murder bandits enslaved , christened new name man rescued . boy Shinta , known Kenshin Himura , destined become swordsman . softness heart befit occupation , desire protect innocent absolute . Rurouni Kenshin : Meiji Kenkaku Romantan - Tsuioku-hen details origins man would bear name Hitokiri Battousai long swore oath kill earned reputation assassin . young man 's heart divided justice corruption , fate nation rests actions . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,"war Tokugawa Shogunate ended years ago . happy outcome . Shigure Takimi watched friends family get slashed name freedom prosperity . band desperate rebels sworn settle one final score . one man stands way : Kenshin Himura . Shigure discovers Kenshin 's true identity Hitokiri Battousai , fight becomes personal vendetta . ( Source : ANN )",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akira,8.16,"Japan , 1988 . explosion caused young boy psychic powers tears city Tokyo ignites fuse leads World War III . order prevent destruction , captured taken custody , never heard . , year 2019 , restored version city known Neo-Tokyo—an area rife gang violence terrorism current government—stands place . , Shoutarou Kaneda leads `` Capsules , '' group misfits known riding large , custom motorcycles constant conflict rivals `` Clowns . '' one battles , Shoutarou 's best friend Tetsuo Shima caught accident esper finds streets Tokyo escaping confinement government institution . encounter , Tetsuo begins develop mysterious abilities , government seeks quarantine latest psychic desperate attempt prevent unleashing destructive power could bring city knees . [ Written MAL Rewrite ]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Beck,8.29,"Fourteen-year-old Yukio `` Koyuki '' Tanaka dispirited young boy goals life . However , changes Koyuki saves strange-looking dog named Beck harassed group local kids . dog 's owner , 16-year-old Ryuusuke `` Ray '' Minami , emerging guitarist former member popular rock band . Koyuki meets Ray diner , older boy leads former band 's meeting place dazzles Koyuki amazing guitar skills . Slowly becoming interested glamour western rock culture , Koyuki decides start playing guitar helping Ray achieve dream leading ultimate rock band . Together Ray 's younger sister Maho members , two boys launch career world rock forming band called BECK . Beck follows group 's struggles successes spread fame across Japan . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chrno Crusade,7.62,"1920s decade great change upheaval , monstrous demons appearing across America . combat menace , holy organization known Order Magdalene established . organization 's New York branch home young reckless Sister Rosette Christopher , well partner Chrno . Tasked extermination demonic threats , renowned team excellent job , despite causing extensive collateral damage missions . However , Rosette Chrno driven dark pasts . exterminating demons , Rosette hopes find lost brother Joshua taken sinner demon , Aion , Chrno also shares bloody history . two must fight increasingly dangerous demonic menace discover source , continuing search truth behind Joshua 's disappearance . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Azumanga Daiou The Animation,7.98,"Chiyo Mihama begins high school career one strangest students freshman class—a tiny , 10-year-old academic prodigy fondness plush dolls homemade cooking . homeroom teacher , Yukari Tanizaki , kind person would hijack student 's bike avoid late , `` strange '' relative word . certainly n't shortage peculiar girls Yukari-sensei 's homeroom class . Accompanying Chiyo students like Tomo Takino , energetic tomboy enthusiasm brains ; Koyomi Mizuhara , Tomo 's best friend whose temper fuse shorter Chiyo ; Sakaki , tall , athletic beauty whose intimidating looks hide gentle personality painful obsession cats . addition , transfer student Ayumu Kasuga , girl head stuck clouds , fits right rest girls—and interesting theories Chiyo 's pigtails ! Together , lovable group girls experience ups downs school life , many adventures filled constant laughter , surreal absurdity , occasionally even touching commentary bittersweet , temporal nature high school . [ Written MAL Rewrite ]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Black Cat (TV),7.33,"Completing every job ruthless accuracy , Train Heartnet infamous assassin regard human life . Donning moniker `` Black Cat '' underground world , elite killer works powerful secret organization known Chronos . One gloomy night , blasé gunman stumbles upon Saya Minatsuki , enigmatic bounty hunter , soon develops odd friendship . Influenced Saya 's positive outlook life , Train begins rethink life . Deciding abandon role Black Cat , instead opts head virtuous path honest bounty hunter . However , Chronos—and particularly Creed Diskenth , Train 's possessive underling—is impressed Train 's sudden change heart vows resort extreme measures order bring back emissary bad luck . assassin turned `` stray cat '' wander far deafening sound gunfire rings . [ Written MAL Rewrite ]",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Full Metal Panic!,7.61,"Mithril , covert military institution using state-of-the-art technology combat terrorist operations , assigns specialized team sensitive mission . command superior officer Melissa Mao , sergeants Sousuke Sagara Kurz Weber must secretly protect Kaname Chidori—a teenage girl unconsciously holds breakthrough scientific knowledge considered `` Whispered '' —from intelligence agencies organizations pursuing abilities . Kurz Melissa assist remotely , Sousuke enrolls Kaname 's high school one classmates closely monitor . However , militaristic upbringing poor social skills lead difficult adjustment civilian life . attract unnecessary attention , actions frequently make Kaname suspicious . Despite earnest attempts fulfill duty , terrorist ambush complicates Sousuke 's task . Recognizing vicious mastermind behind assault , Sousuke abandons orders ensure Kaname 's safety . [ Written MAL Rewrite ]",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
