title,genre,score,synopsis
The Last of Us,"Action, Adventure, Drama",9.1,"Twenty years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal, heartbreaking journey, as they both must traverse the U.S. and depend on each other for survival."
The Mandalorian,"Action, Adventure, Fantasy",8.7,"After the stories of Jango and Boba Fett, another warrior emerges in the Star Wars universe. The Mandalorian is set after the fall of the Empire and before the emergence of the First Order. We follow the travails of a lone gunfighter in the outer reaches of the galaxy far from the authority of the New Republic."
Outer Banks,"Action, Crime, Drama",7.6,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."
1923,"Drama, Western",8.5,"The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition and the Great Depression."
Poker Face,"Crime, Drama, Mystery",8.0,Charlie has an extraordinary ability to determine when someone is lying. She hits the road with her Plymouth Barracuda and with every stop encounters a new cast of characters and strange crimes she can't help but investigate and s...
Shingeki no Kyojin,"Animation, Action, Adventure",9.0,"As the Trost District is reclaimed from the Titans, Eren is taken under the wing of Captain Levi and his squad, who decide to try and teach him to master his mysterious abilities."
The White Lotus,"Comedy, Drama",7.9,"Set in a tropical resort, it follows the exploits of various guests and employees over the span of a week."
Yellowstone,"Drama, Western",8.7,"Yellowstone follows the Dutton family, led by John Dutton, who controls the largest contiguous ranch in the United States, under constant attack by those it borders - land developers, an Indian reservation, and America's first National Park. It is an intense study of a violent world far from media scrutiny - where land grabs make developers billions, and politicians are bought and sold by the world's largest oil and lumber corporations. Where drinking water poisoned by fracking wells and unsolved murders are not news: they are a consequence of living in the new frontier. It is the best and worst of America seen through the eyes of a family that represents both."
You,"Crime, Drama, Romance",7.7,"Based on Caroline Kepnes' best-selling novel of the same name, YOU is a 21st century love story that asks, ""What would you do for love?"" When a brilliant bookstore manager crosses paths with an aspiring writer, his answer becomes clear: anything. Using the internet and social media as his tools to gather the most intimate of details and get close to her, a charming and awkward crush quickly becomes obsession as he quietly and strategically removes every obstacle - and person - in his way."
Star Trek: Picard,"Action, Adventure, Drama",7.3,"At the end of the 24th Century, and 14 years after his retirement from Starfleet, Jean-Luc Picard is living a quiet life on his vineyard, Chateau Picard. When he is sought out by a mysterious young woman, Dahj, in need of his help, he soon realizes she may have personal connections to his own past."
